snid,galaxy_id
19674,18064743
19226,4671046
18485,15594598
20087,11995131
18345,354095
19030,20211879
19721,4716951
18796,4692775
18909,3533384
18746,10746987
17945,4702311
19896,9815529
18226,9880385
18489,10729402
18613,4686881
18635,4620673
18782,5090080
17854,21645008
20005,11196959
18893,4616850
19056,355136
18361,10742009
18674,10732184
20013,3545674
18245,3410324
19542,11188063
18063,4720570
19087,4717517
18296,18044616
20017,15633995
19021,9146893
19782,3400887
19265,353682
19731,9816043
19666,9817646
19326,15633852
19917,4720451
17934,5227228
17982,15647462
18937,4658293
20075,21644653
18670,15635148
19264,9904435
18809,4627583
19762,10137275
18770,4683021
18024,3389823
19848,10720511
19243,10155219
19012,3549454
19127,4690193
18464,4667654
19472,21648192
19834,11198260
18612,18078011
7394,11685520
7319,3928575
8121,20285321
7601,11310864
7655,14045485
7038,1881991
8040,3983995
7803,16649895
7802,21003965
7448,15683293
8236,8773494
7687,14032612
7138,15453992
7994,12373929
8018,4507323
7354,7397889
8243,3213119
8221,7404386
7259,17096055
7785,1891693
8408,15454168
7954,19052331
7723,15453991
7412,19071837
7328,15681636
7571,11685561
7929,15326370
7924,3217908
7667,14041447
7462,3932708
7521,7846632
7806,3930510
7671,10033213
7544,12373907
7807,1420800
7617,7398214
8246,4751786
7456,7397366
7890,20996202
8061,11312153
8111,116058
8438,20401772
7813,259400
7210,20235562
7356,12378572
8124,14402401
7176,19273321
7241,7846162
7251,7402010
7983,19049742
7248,3204789
7432,3979835
8271,19270779
8349,11677964
8225,14065300
7183,11301329
7685,7389373
8341,10496527
8282,261207
7777,19048771
8364,1409164
8437,17099098
7999,251503
7678,3084898
8244,19268434
7287,254242
7563,17065994
7947,126116
7372,11311846
7186,1420281
7416,3072303
7551,7403339
8220,3931452
7344,3928247
7969,1415488
8346,7847491
7621,15683255
8108,7404390
7567,15670941
7494,3211589
7613,3930543
7527,3981206
7861,17098563
7829,7389388
7347,11688120
7730,11309171
7975,14046976
8268,17062728
7704,11688236
7279,7850194
7912,3213593
7491,139334
7350,4750644
8153,3976482
7684,17093454
8142,20284645
7268,124401
8148,20236100
8075,13556944
7696,12372384
7893,237052
7525,16662838
7661,14042552
7220,13559974
8388,15681218
7367,267892
8307,124885
8169,14277097
8094,14261901
8036,3211572
7702,4501085
7219,4760709
7322,21002647
8119,11676468
8039,11301059
8351,1407787
7923,4751805
7759,7388389
7581,7388519
8239,21001606
